,PUBID,REGION,CENDIV,SQFT,PBA,YRCON,FREESTN,NELVTR,NESLTR,GLSSPC,OPEN24,WKHRS,NWKER,OPNWE,ONEACT,RFGEQP,ELHT1,ELCOOL,ELWATR,ELCOOK,ELMANU,ELCNS,YEAR,PBA_Detail
1317,1318,4,9,18250,5,1970,1.0,0.0,0.0,1.0,2.0,48.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,90718.0,2012,Nonrefrigerated warehouse
1318,1319,2,4,4800,91,1988,1.0,0.0,0.0,1.0,2.0,20.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,12507.0,2012,Other
1319,1320,3,5,90000,14,1984,1.0,1.0,0.0,3.0,2.0,55.0,40.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,757894.0,2012,Education
1320,1321,3,5,250000,13,1982,1.0,1.0,0.0,4.0,1.0,168.0,500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3044840.0,2012,Public assembly
1321,1322,3,7,5400,1,995,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
1322,1323,1,2,1700,26,1950,1.0,0.0,0.0,4.0,2.0,124.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,29296.0,2012,Service
1323,1324,4,9,4250,15,1969,1.0,0.0,0.0,2.0,2.0,84.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,231764.0,2012,Food service
1324,1325,3,6,4900,8,1970,1.0,0.0,0.0,2.0,2.0,45.0,10.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,71365.0,2012,Outpatient health care
1325,1326,3,5,65000,18,1970,1.0,1.0,0.0,2.0,1.0,168.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,564807.0,2012,Lodging
1326,1327,3,5,220000,18,2000,1.0,3.0,0.0,2.0,1.0,168.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1485020.0,2012,Lodging
1327,1328,4,9,5200,15,995,,0.0,0.0,,2.0,77.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,183067.0,2012,Food service
1328,1329,4,9,230000,2,1957,1.0,5.0,0.0,3.0,2.0,45.0,200.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1406149.0,2012,Office
1329,1330,3,5,2750,2,2011,1.0,0.0,0.0,2.0,2.0,60.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,59294.0,2012,Office
1330,1331,3,5,100000,5,1956,1.0,0.0,0.0,3.0,2.0,59.0,77.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,500792.0,2012,Nonrefrigerated warehouse
1331,1332,4,9,41000,91,2006,1.0,0.0,0.0,1.0,2.0,74.0,30.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,144989.0,2012,Other
1332,1333,2,4,2500,25,2010,1.0,0.0,0.0,2.0,2.0,32.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6438.0,2012,Retail other than mall
1333,1334,3,7,106000,2,1979,1.0,4.0,0.0,5.0,2.0,50.0,350.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3222219.0,2012,Office
1334,1335,1,1,9100,23,1955,1.0,0.0,0.0,2.0,2.0,70.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,73590.0,2012,Strip shopping mall
1335,1336,4,8,61000,8,2010,1.0,1.0,0.0,3.0,2.0,40.0,150.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,892155.0,2012,Outpatient health care
1336,1337,3,5,3000,6,1998,1.0,0.0,0.0,4.0,1.0,168.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,362694.0,2012,Food sales
1337,1338,3,5,17000,14,1970,1.0,1.0,0.0,3.0,2.0,70.0,32.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,389187.0,2012,Education
1338,1339,4,8,5200,15,995,1.0,0.0,0.0,4.0,2.0,76.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,280426.0,2012,Food service
1339,1340,3,5,5900,12,1971,1.0,0.0,0.0,3.0,2.0,48.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,51892.0,2012,Religious worship
1340,1341,2,3,24750,14,2005,1.0,0.0,0.0,3.0,2.0,50.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,107070.0,2012,Education
1341,1342,3,5,1400000,18,1976,1.0,15.0,6.0,6.0,1.0,168.0,400.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,28672287.0,2012,Lodging
1342,1343,4,9,3050,2,1977,1.0,0.0,0.0,2.0,2.0,44.0,9.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,33313.0,2012,Office
1343,1344,1,1,65000,2,1984,1.0,0.0,0.0,3.0,2.0,126.0,12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,334274.0,2012,Office
1344,1345,2,3,7400,25,1974,1.0,0.0,0.0,1.0,2.0,93.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,147825.0,2012,Retail other than mall
1345,1346,1,1,1600,2,1987,1.0,0.0,0.0,4.0,2.0,49.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,16145.0,2012,Office
1346,1347,4,8,2900,5,2003,1.0,0.0,0.0,1.0,1.0,168.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,858.0,2012,Nonrefrigerated warehouse
1347,1348,1,2,225000,2,1968,1.0,3.0,0.0,3.0,2.0,93.0,800.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2687070.0,2012,Office
1348,1349,2,3,5000,2,1998,1.0,0.0,0.0,2.0,2.0,45.0,14.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,72457.0,2012,Office
1349,1350,3,7,2750,5,2007,1.0,0.0,0.0,1.0,1.0,168.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,10374.0,2012,Nonrefrigerated warehouse
1350,1351,3,7,9000,26,1979,1.0,0.0,0.0,2.0,2.0,72.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,200124.0,2012,Service
1351,1352,4,9,138000,2,1989,,1.0,0.0,,2.0,75.0,600.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2819994.0,2012,Office
1352,1353,1,2,2100,26,1979,,0.0,0.0,,2.0,60.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,61377.0,2012,Service
1353,1354,3,5,4150,2,1952,1.0,0.0,0.0,2.0,2.0,40.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,26550.0,2012,Office
1354,1355,2,3,44000,23,1971,1.0,0.0,0.0,2.0,2.0,70.0,24.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,693757.0,2012,Strip shopping mall
1355,1356,3,5,79000,23,1992,1.0,0.0,0.0,4.0,2.0,103.0,94.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2452258.0,2012,Strip shopping mall
1356,1357,4,9,19750,7,1975,1.0,0.0,0.0,1.0,1.0,168.0,50.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,51764.0,2012,Public order and safety
1357,1358,4,9,1650,6,1966,1.0,0.0,0.0,3.0,1.0,168.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,243522.0,2012,Food sales
1358,1359,1,1,150000,2,1981,1.0,4.0,0.0,2.0,2.0,50.0,900.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1778600.0,2012,Office
1359,1360,1,2,600000,5,1960,1.0,0.0,0.0,3.0,1.0,168.0,200.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,645957.0,2012,Nonrefrigerated warehouse
1360,1361,3,5,800000,2,1995,1.0,14.0,2.0,5.0,2.0,55.0,1574.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10150404.0,2012,Office
1361,1362,2,3,2400,2,1993,1.0,0.0,0.0,2.0,2.0,40.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,12566.0,2012,Office
1362,1363,2,3,17750,23,1972,1.0,0.0,0.0,4.0,2.0,80.0,24.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,277233.0,2012,Strip shopping mall
1363,1364,2,3,5400,5,1958,1.0,0.0,0.0,3.0,2.0,56.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,54740.0,2012,Nonrefrigerated warehouse
1364,1365,1,2,6000,1,1950,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2633.0,2012,Vacant
1365,1366,4,8,38000,2,1974,1.0,0.0,0.0,1.0,2.0,40.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,234869.0,2012,Office
1366,1367,1,2,700000,2,1968,1.0,18.0,2.0,4.0,2.0,75.0,2100.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,16233147.0,2012,Office
1367,1368,4,9,32000,13,1977,1.0,0.0,0.0,1.0,2.0,70.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,213189.0,2012,Public assembly
1368,1369,3,5,66000,16,1969,1.0,0.0,0.0,3.0,1.0,168.0,83.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1210816.0,2012,Inpatient health care
1369,1370,3,5,600000,1,2008,1.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
1370,1371,2,4,7500,26,1982,1.0,0.0,0.0,1.0,2.0,47.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,8470.0,2012,Service
1371,1372,4,9,4400,13,2006,1.0,0.0,0.0,3.0,2.0,32.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,24153.0,2012,Public assembly
1372,1373,3,5,16250,17,1949,1.0,0.0,0.0,2.0,1.0,168.0,30.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,260103.0,2012,Nursing
1373,1374,2,4,1900,15,995,,0.0,0.0,,2.0,35.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,23233.0,2012,Food service
1374,1375,4,9,2150,15,995,1.0,0.0,0.0,3.0,2.0,84.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,198691.0,2012,Food service
1375,1376,2,4,3200,26,1953,1.0,0.0,0.0,2.0,2.0,40.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,7389.0,2012,Service
1376,1377,4,8,77000,8,1990,1.0,2.0,0.0,4.0,2.0,55.0,181.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1011070.0,2012,Outpatient health care
1377,1378,3,5,4000,15,1979,1.0,0.0,0.0,2.0,2.0,98.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,206800.0,2012,Food service
1378,1379,4,9,2600,26,1962,1.0,0.0,0.0,1.0,2.0,42.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2432.0,2012,Service
1379,1380,4,9,150000,23,1984,1.0,0.0,0.0,3.0,2.0,80.0,106.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4149493.0,2012,Strip shopping mall
1380,1381,4,9,7000,26,995,1.0,0.0,0.0,2.0,2.0,50.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,10030.0,2012,Service
1381,1382,3,7,1250,15,1990,1.0,0.0,0.0,2.0,2.0,50.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,60344.0,2012,Food service
1382,1383,1,1,2500,2,1978,1.0,0.0,0.0,3.0,2.0,48.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,49864.0,2012,Office
1383,1384,2,3,120000,13,1965,1.0,1.0,0.0,4.0,2.0,110.0,20.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1570470.0,2012,Public assembly
1384,1385,3,6,1200,1,1959,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
1385,1386,3,5,31500,25,1979,1.0,0.0,0.0,2.0,2.0,60.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,177713.0,2012,Retail other than mall
1386,1387,2,4,4100,12,995,1.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5206.0,2012,Religious worship
1387,1388,3,6,240000,16,1952,1.0,3.0,0.0,2.0,1.0,168.0,350.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,7978661.0,2012,Inpatient health care
1388,1389,4,9,5200,25,1985,1.0,0.0,0.0,3.0,2.0,86.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,37146.0,2012,Retail other than mall
1389,1390,2,3,112000,14,2004,1.0,0.0,0.0,2.0,2.0,35.0,45.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,772639.0,2012,Education
1390,1391,3,5,62000,2,1977,1.0,1.0,0.0,3.0,2.0,84.0,500.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1540427.0,2012,Office
1391,1392,3,5,2500,13,1952,1.0,0.0,0.0,1.0,2.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,19401.0,2012,Public assembly
1392,1393,3,5,600000,16,995,1.0,12.0,0.0,3.0,1.0,168.0,850.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,18405453.0,2012,Inpatient health care
1393,1394,2,4,97000,23,2000,1.0,2.0,0.0,5.0,2.0,87.0,39.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1902166.0,2012,Strip shopping mall
1394,1395,4,9,11750,5,1996,1.0,0.0,0.0,2.0,2.0,60.0,20.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,45066.0,2012,Nonrefrigerated warehouse
1395,1396,3,7,3200,2,1951,1.0,0.0,0.0,2.0,2.0,40.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,11222.0,2012,Office
1396,1397,1,2,70000,2,1980,1.0,2.0,0.0,1.0,1.0,168.0,160.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1462864.0,2012,Office
1397,1398,4,9,7800,14,1987,1.0,0.0,0.0,1.0,2.0,60.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,40368.0,2012,Education
1398,1399,4,8,2100,26,995,,0.0,0.0,,2.0,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8584.0,2012,Service
1399,1400,4,8,24250,18,1958,1.0,0.0,0.0,2.0,1.0,168.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,126375.0,2012,Lodging
1400,1401,4,9,158000,1,1972,,0.0,0.0,,2.0,65.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1080855.0,2012,Vacant
1401,1402,1,1,40500,2,1985,1.0,0.0,0.0,2.0,2.0,60.0,125.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,373034.0,2012,Office
1402,1403,3,5,30500,2,2002,1.0,0.0,0.0,4.0,2.0,42.0,90.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,335681.0,2012,Office
1403,1404,1,2,64000,26,995,1.0,2.0,0.0,3.0,2.0,72.0,70.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,542560.0,2012,Service
1404,1405,2,3,14500,23,1975,1.0,0.0,0.0,2.0,2.0,70.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,227257.0,2012,Strip shopping mall
1405,1406,4,9,5800,14,1993,1.0,0.0,0.0,1.0,2.0,40.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,24429.0,2012,Education
1406,1407,2,3,700000,16,1951,,14.0,0.0,,1.0,168.0,2000.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,18330438.0,2012,Inpatient health care
1407,1408,3,7,13750,14,2002,1.0,0.0,0.0,1.0,2.0,50.0,25.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,156404.0,2012,Education
1408,1409,3,6,220000,25,1986,1.0,0.0,0.0,1.0,1.0,168.0,125.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6023348.0,2012,Retail other than mall
1409,1410,4,8,4000,5,995,1.0,0.0,0.0,1.0,2.0,48.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6284.0,2012,Nonrefrigerated warehouse
1410,1411,1,1,900000,16,1999,1.0,11.0,0.0,4.0,1.0,168.0,700.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,26718773.0,2012,Inpatient health care
1411,1412,3,5,9400,7,1969,1.0,0.0,0.0,2.0,1.0,168.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,360866.0,2012,Public order and safety
1412,1413,3,7,18000,8,2003,1.0,1.0,0.0,2.0,2.0,60.0,35.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,500647.0,2012,Outpatient health care
1413,1414,3,5,3250,26,1998,1.0,0.0,0.0,4.0,2.0,50.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,33833.0,2012,Service
1414,1415,3,5,2000,2,1982,1.0,0.0,0.0,3.0,2.0,50.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5894.0,2012,Office
1415,1416,4,8,50000,25,1995,1.0,0.0,0.0,3.0,2.0,45.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,449407.0,2012,Retail other than mall
1416,1417,3,6,275000,14,1957,1.0,2.0,0.0,2.0,2.0,47.0,158.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3309989.0,2012,Education
1417,1418,2,3,190000,14,1998,1.0,3.0,0.0,4.0,2.0,80.0,100.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3615714.0,2012,Education
1418,1419,3,6,3600,2,1960,1.0,0.0,0.0,2.0,2.0,45.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,16402.0,2012,Office
1419,1420,1,2,600000,16,1975,,16.0,0.0,,1.0,168.0,1800.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,28174942.0,2012,Inpatient health care
1420,1421,2,4,600000,2,2006,1.0,16.0,0.0,3.0,2.0,72.0,2100.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,15718353.0,2012,Office
1421,1422,3,7,62000,5,2003,1.0,0.0,0.0,1.0,2.0,45.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,55954.0,2012,Nonrefrigerated warehouse
1422,1423,3,5,3400,2,1960,,0.0,0.0,,2.0,60.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,23430.0,2012,Office
1423,1424,4,9,198000,2,2001,1.0,4.0,0.0,5.0,1.0,168.0,25.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,30690672.0,2012,Office
1424,1425,1,1,29500,12,995,,0.0,0.0,,2.0,16.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,26913.0,2012,Religious worship
1425,1426,4,9,37000,25,1995,1.0,0.0,0.0,1.0,2.0,74.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,488882.0,2012,Retail other than mall
1426,1427,4,9,600000,16,1967,1.0,19.0,0.0,4.0,1.0,168.0,2000.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,16415325.0,2012,Inpatient health care
1427,1428,1,1,29000,14,2011,1.0,1.0,0.0,2.0,2.0,72.0,20.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,116497.0,2012,Education
1428,1429,2,3,124000,18,1990,1.0,2.0,0.0,3.0,1.0,168.0,18.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1828442.0,2012,Lodging
1429,1430,3,5,1250,2,1955,1.0,0.0,0.0,3.0,2.0,50.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,18023.0,2012,Office
1430,1431,2,4,1800,13,1971,1.0,0.0,0.0,2.0,1.0,168.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9332.0,2012,Public assembly
1431,1432,2,4,2050,13,1962,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4337.0,2012,Public assembly
1432,1433,3,7,2200,2,2002,1.0,0.0,0.0,1.0,2.0,85.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,25811.0,2012,Office
1433,1434,2,4,50000,5,1999,1.0,0.0,0.0,1.0,2.0,45.0,30.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,286259.0,2012,Nonrefrigerated warehouse
1434,1435,2,4,69000,14,1968,1.0,0.0,0.0,3.0,2.0,45.0,57.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,583370.0,2012,Education
1435,1436,4,9,8100,12,1987,1.0,0.0,0.0,1.0,2.0,50.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,44271.0,2012,Religious worship
1436,1437,4,9,2950,2,1957,1.0,0.0,0.0,2.0,2.0,50.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,8172.0,2012,Office
1437,1438,3,6,8500,13,995,1.0,0.0,0.0,2.0,2.0,58.0,12.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,53477.0,2012,Public assembly
1438,1439,3,5,400000,24,1985,1.0,0.0,0.0,2.0,2.0,55.0,1250.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,10754165.0,2012,Enclosed mall
1439,1440,1,2,700000,24,1970,1.0,2.0,2.0,2.0,2.0,72.0,600.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,12737025.0,2012,Enclosed mall
1440,1441,3,5,60000,23,1966,1.0,0.0,0.0,2.0,2.0,70.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1011907.0,2012,Strip shopping mall
1441,1442,3,7,360000,5,1996,1.0,0.0,0.0,1.0,2.0,120.0,150.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5020934.0,2012,Nonrefrigerated warehouse
1442,1443,2,3,126000,5,1977,,0.0,0.0,,2.0,48.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,377457.0,2012,Nonrefrigerated warehouse
1443,1444,3,5,275000,11,1998,1.0,1.0,0.0,1.0,2.0,132.0,125.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5567149.0,2012,Refrigerated warehouse
1444,1445,3,7,43500,14,1963,1.0,0.0,0.0,2.0,2.0,35.0,55.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,228426.0,2012,Education
1445,1446,2,4,3700,5,1996,1.0,0.0,0.0,1.0,2.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7258.0,2012,Nonrefrigerated warehouse
1446,1447,3,6,3000,25,1975,1.0,0.0,0.0,1.0,2.0,50.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,29170.0,2012,Retail other than mall
1447,1448,3,5,55000,5,1998,1.0,1.0,0.0,2.0,2.0,50.0,20.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,280268.0,2012,Nonrefrigerated warehouse
1448,1449,4,9,1550,25,1951,1.0,0.0,0.0,2.0,2.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,57736.0,2012,Retail other than mall
1449,1450,4,9,130000,1,1988,1.0,0.0,0.0,2.0,2.0,20.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,55880.0,2012,Vacant
1450,1451,2,3,3500,2,995,1.0,0.0,0.0,2.0,2.0,40.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,34203.0,2012,Office
1451,1452,3,5,5200,2,995,1.0,0.0,0.0,3.0,2.0,70.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,64756.0,2012,Office
1452,1453,2,3,700000,2,1975,,12.0,0.0,,1.0,168.0,1200.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4446567.0,2012,Office
1453,1454,3,7,53000,18,2010,1.0,2.0,0.0,3.0,1.0,168.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,600479.0,2012,Lodging
1454,1455,3,6,1400000,18,1996,1.0,995.0,8.0,3.0,1.0,168.0,2000.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,31354752.0,2012,Lodging
1455,1456,4,8,290000,14,1964,1.0,3.0,0.0,2.0,1.0,168.0,125.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2337987.0,2012,Education
1456,1457,1,2,1500,26,1958,1.0,0.0,0.0,4.0,2.0,55.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,29780.0,2012,Service
1457,1458,1,1,12000,25,995,1.0,0.0,0.0,3.0,2.0,40.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,44083.0,2012,Retail other than mall
1458,1459,2,3,3000,26,1959,1.0,0.0,0.0,3.0,2.0,72.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,8765.0,2012,Service
1459,1460,1,2,100001,18,995,,4.0,0.0,,1.0,168.0,50.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2344075.0,2012,Lodging
1460,1461,2,4,36000,26,995,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,33939.0,2012,Service
1461,1462,1,1,6300,5,2005,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6721.0,2012,Nonrefrigerated warehouse
1462,1463,1,2,2400,26,2008,1.0,0.0,0.0,1.0,2.0,40.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,15697.0,2012,Service
1463,1464,3,5,2600,2,1988,1.0,0.0,0.0,2.0,2.0,40.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,19897.0,2012,Office
1464,1465,1,2,4900,26,995,1.0,0.0,0.0,2.0,2.0,39.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,18003.0,2012,Service
1465,1466,1,1,5500,12,2001,1.0,0.0,0.0,2.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,8130.0,2012,Religious worship
1466,1467,2,3,3500,15,1998,1.0,0.0,0.0,3.0,2.0,92.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,226739.0,2012,Food service
1467,1468,1,2,4300,15,1950,,0.0,0.0,,2.0,99.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,93433.0,2012,Food service
1468,1469,4,9,1500000,2,1988,1.0,12.0,995.0,6.0,2.0,45.0,580.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,13760548.0,2012,Office
